target_sku,difference_reason,row_count,candidate_skus,candidate_names,candidate_category_ids,candidate_biaya_values,total_qty_available,total_qty_reserved,recommended_canonical_sku,recommended_category_id,recommended_biaya,approval_status,approved_canonical_sku,approved_category_id,approved_biaya,notes
001004013053,"category,biaya",2,"CAB-001004013053 || CAB-001004013053-DUP2-R14145","COPPER TUBE ASTM B280 ROL 1/2 X 0.53 MM || COPPER TUBE ASTM B280 ROL 1/2 X 0.53 MM","640 || 7","536400.00 || 449583.00",11.00,0.00,CAB-001004013053,640,536400.00,,,,,
001004013061,"category,biaya",2,"CAB-001004013061 || CAB-001004013061-DUP2-R14147","COPPER TUBE ASTM B280 ROL 1/2 X 0.61 MM || COPPER TUBE ASTM B280 ROL 1/2 X 0.61 MM","640 || 7","664650.00 || 513333.00",49.00,19.00,CAB-001004013061,640,664650.00,,,,,
001004013150,"category,biaya",2,"CAB-001004013150 || CAB-001004013150-DUP2-R14152","COPPER TUBE ASTM B280 ROL 1/2 X 1.50 MM || COPPER TUBE ASTM B280 ROL 1/2 X 1.50 MM","640 || 7","2149110.00 || 1843333.00",13.00,0.00,CAB-001004013150,640,2149110.00,,,,,
001004016053,"category,biaya",2,"CAB-001004016053 || CAB-001004016053-DUP2-R14180","COPPER TUBE ASTM B280 ROL 5/8 X 0.53 MM || COPPER TUBE ASTM B280 ROL 5/8 X 0.53 MM","640 || 7","733500.00 || 566250.00",29.00,11.00,CAB-001004016053,640,733500.00,,,,,
001004016071,"category,biaya",2,"CAB-001004016071 || CAB-001004016071-DUP2-R14182","COPPER TUBE ASTM B280 ROL 5/8 X 0.71 MM || COPPER TUBE ASTM B280 ROL 5/8 X 0.71 MM","640 || 7","988200.00 || 915000.00",55.00,31.00,CAB-001004016071,640,988200.00,,,,,
001004019056,"category,biaya",2,"CAB-001004019056 || CAB-001004019056-DUP2-R14164","COPPER TUBE ASTM B280 ROL 3/4 X 0.56 MM || COPPER TUBE ASTM B280 ROL 3/4 X 0.56 MM","640 || 7","933300.00 || 600000.00",61.00,0.00,CAB-001004019056,640,933300.00,,,,,
001004019089,"category,biaya",2,"CAB-001004019089 || CAB-001004019089-DUP2-R14167","COPPER TUBE ASTM B280 ROL 3/4 X 0.89 MM || COPPER TUBE ASTM B280 ROL 3/4 X 0.89 MM","640 || 7","1456650.00 || 1276250.00",198.00,27.00,CAB-001004019089,640,1456650.00,,,,,
002001000006,"category,biaya",2,"CAB-002001000006 || CAB-002001000006-DUP2-R13937","COPPER TEE 1/4 || COPPER TEE 1/4","635 || 309","7650.00 || 7500.00",741.00,5.00,CAB-002001000006,635,7650.00,,,,,
002001000032,"category,biaya",2,"CAB-002001000032 || CAB-002001000032-DUP2-R13927","COPPER TEE 1 1/4 || COPPER TEE 1 1/4","635 || 309","71400.00 || 70417.00",179.00,0.00,CAB-002001000032,635,71400.00,,,,,
002001000042,"category,biaya",2,"CAB-002001000042 || CAB-002001000042-DUP2-R13932","COPPER TEE 1 5/8 || COPPER TEE 1 5/8","635 || 309","116025.00 || 113750.00",139.00,4.00,CAB-002001000042,635,116025.00,,,,,
